[
[301001, {"_id":301001,"name":"雷霆法神","MHP":10000000,"mp":0,"MinDEF":1000,"MaxDEF":5000,"MinMDEF":1000,"MaxMDEF":5000,"MinATK":1200,"MaxATK":60000,"MinMATK":12000,"MaxMATK":60000,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[301002, {"_id":301002,"name":"皓月法神","MHP":10000000,"mp":0,"MinDEF":3000,"MaxDEF":8000,"MinMDEF":3000,"MaxMDEF":8000,"MinATK":1440,"MaxATK":38400,"MinMATK":14400,"MaxMATK":38400,"DODGE":10,"HIT":20,"minStayTime":2500,"maxStayTime":2500,"moveTime":1,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302001, {"_id":302001,"name":"白虎1级","MHP":300000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":5000,"MaxMATK":6000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302002, {"_id":302002,"name":"白虎2级","MHP":350000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":6000,"MaxMATK":7000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302003, {"_id":302003,"name":"白虎3级","MHP":400000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":7000,"MaxMATK":8000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302004, {"_id":302004,"name":"白虎4级","MHP":500000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":8000,"MaxMATK":9000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302005, {"_id":302005,"name":"白虎5级","MHP":600000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":9000,"MaxMATK":10000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302006, {"_id":302006,"name":"白虎6级","MHP":700000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":10000,"MaxMATK":12000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302007, {"_id":302007,"name":"白虎7级","MHP":800000,"mp":0,"MinDEF":50000,"MaxDEF":50000,"MinMDEF":50000,"MaxMDEF":50000,"MinATK":0,"MaxATK":0,"MinMATK":12000,"MaxMATK":1400,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302101, {"_id":302101,"name":"神将1级","MHP":600000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":20000,"MaxMATK":30000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
[302102, {"_id":302102,"name":"神将2级","MHP":700000,"mp":0,"MinDEF":80000,"MaxDEF":80000,"MinMDEF":80000,"MaxMDEF":80000,"MinATK":0,"MaxATK":0,"MinMATK":30000,"MaxMATK":40000,"DODGE":10,"HIT":20,"minStayTime":500,"maxStayTime":500,"moveTime":2,"CRIRate":0,"DUCrate":0,"ADTR":0,"MR":0,"HPup":0,"showTomb":0}],
