#v100,,如果是全服唯一地图 主城配1 0 0 1    野外配2 0 0 1         如果是副本配3 2 [承载人数] [房间数]          如果是分线地图 主城配1 1 [单线人数] 1     野外配2 1 [单线人数] 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#代表本行注释,,,,,#type,副本类型,副本承载上限,副本复用数量,,,#minLv,#minLvR,#trigerenterleave,#taskshare,#runmon,#runplayer,#pkprohibit,#pkallow,#autoenter,#nodiedropitem,#noprotectnewer,#nodirectfly,#nodropitem,#nointeract,#nomount,#lockaction,#wanderhangup,#nogod,#autoalive,#norelivestand,#anonym,#nocall,,di,ds
#地图编号,地图文件,地图名字,小地图编号,脚本触发,1主城2野外3副本,0独立1公共2个人,,名字后面加1-200,回城点,复活点,进入最低等级,进入最低转生,进入离开绑定脚本,任务共享,允许穿怪,允许穿人,禁止PK,允许PK(不加PK值),保留位置,死亡不掉东西,不保护新手,禁止传送,禁止扔东西,屏蔽玩家名字，禁止聊天，禁止查看角色信息,禁止坐骑,禁止攻击和使用技能,游荡挂机,禁止战神进入,自动复活,禁止原地复活,匿名,禁止召唤好友,禁止传送到闯天关&个人boss副本地图,禁止使用某个物品,禁止使用某个技能
#基础地图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xinshou,v502,新手村,502,null,1,1,20,1,4010001,4010001,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tucheng,vlongc,盟重,518,null,1,0,0,1,4010003,4010003,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biqi,v103,比奇城,103,null,1,0,0,1,4010002,4010002,50,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
kingcity,v105,沙巴克,105,map.wangcheng,1,0,0,1,4010003,4010003,60,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
kinghome,v106,皇宫,106,map.kinghome,1,0,0,1,4010003,4010003,60,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32010003|32010001,
kuangdong1,v200,矿洞1,200,null,2,1,20,1,4010003,4010003,30,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
kuangdong2,v202,矿洞2,202,null,2,0,0,1,4010003,4010003,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dusheshangu1,v210,毒蛇山谷1,210,map.dushe1,2,1,20,1,4010003,4010003,40,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dusheshangu2,v212,毒蛇山谷2,212,null,2,0,0,1,4010003,4010003,40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
siwangshangu1,v221,死亡山谷1,221,null,2,1,20,1,4010003,4010003,50,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
